Date,Avinash_Distance,Juhan_Distance,Daniel_Distance,Viet_Distance,Avg_Distance,Precipitation,,,,,,,,,,
2019-05-02,3.21,1.23,0.57,3.7,2.18,0.01,,,,,,,,,,
2019-05-03,0.15,0.19,0.54,3.5,1.10,0.06,,,,,,,,,,
2019-05-04,2.00,1.02,0.33,5.9,2.31,0.11,,,,,,,,,,
2019-05-05,4.25,3.4,1.4,0.13,2.29,1.31,,,,,,,,,,
2019-05-06,3.41,1.12,1.7,4.9,2.78,0,,,,,,,,,,
2019-05-07,0.14,6.7,1,4.8,3.16,0.11,,,,,,,,,,
2019-05-08,3.42,0.48,1.5,4.8,2.55,0,,,,,,,,,,
2019-05-09,1.63,4.5,1.8,2.1,2.51,0,,,,,,,,,,
2019-05-10,2.07,0.24,0.06,5.3,1.92,0.04,,,,,,,,,,
2019-05-11,1.66,0.39,1.3,3.2,1.64,0.04,,,,,,,,,,
2019-05-12,2.59,0.38,0.48,0.04,0.87,1.32,,,,,,,,,,
2019-05-13,2.37,0.82,0.83,5.7,2.43,0.7,,,,,,,,,,
2019-05-14,0.71,5.6,1.3,4.7,3.08,0.3,,,,,,,,,,
2019-05-15,0.95,1.74,0.45,0.01,0.79,0.01,,,,,,,,,,
2019-05-16,0.21,3.26,1.3,0.01,1.19,0.12,,,,,,,,,,
2019-05-17,1.35,2.48,0.32,0.27,1.10,0.03,,,,,,,,,,
2019-05-18,0.61,2.7,0.3,2.9,1.63,0,,,,,,,,,,
2019-05-19,2.20,1.05,0.63,2.3,1.54,0.06,,,,,,,,,,
2019-05-20,1.22,1.31,1,2.4,1.48,0,,,,,,,,,,
2019-05-21,4.37,3.02,1.8,3.2,3.10,0,,,,,,,,,,
2019-05-22,1.06,1.4,0.33,4.4,1.80,0,,,,,,,,,,
2019-05-23,2.50,1.27,1.3,2,1.77,0.48,,,,,,,,,,
2019-05-24,3.18,1.74,0.02,2.8,1.94,0,,,,,,,,,,
2019-05-25,0.50,2.6,0.35,3.4,1.71,0,,,,,,,,,,
2019-05-26,2.27,1,0.02,2.2,1.37,0.2,,,,,,,,,,
2019-05-27,4.08,0.5,0.35,5.3,2.56,0,,,,,,,,,,
2019-05-28,0.61,0.94,1.1,1.1,0.94,0.17,,,,,,,,,,
2019-05-29,4.09,0.86,0.02,1.4,1.59,0.8,,,,,,,,,,
2019-05-30,2.34,4.45,0.03,3.8,2.66,0.95,,,,,,,,,,
2019-05-31,0.73,2,0.81,2.5,1.51,0,,,,,,,,,,
2019-06-01,0.72,1.45,0.38,4.4,1.74,0,,,,,,,,,,
2019-06-02,1.22,1.1,3.1,2.6,2.01,0.86,,,,,,,,,,
2019-06-03,1.28,1.17,0.71,1.4,1.14,0,,,,,,,,,,
2019-06-04,4.36,1.66,0.88,3,2.47,0,,,,,,,,,,
2019-06-05,3.76,1.01,0.73,2.9,2.10,0,,,,,,,,,,
2019-06-06,1.18,1.65,0.33,1.2,1.09,0.04,,,,,,,,,,
2019-06-07,0.14,0.83,0.7,0.07,0.44,0,,,,,,,,,,
2019-06-08,2.03,1.31,0.48,3.8,1.91,0,,,,,,,,,,
2019-06-09,3.52,0.84,5.9,0.38,2.66,0,,,,,,,,,,
2019-06-10,3.22,3.92,0.03,3.5,2.67,0.62,,,,,,,,,,
2019-06-11,1.65,3.11,2.3,3,2.51,0.45,,,,,,,,,,
2019-06-12,1.66,0.75,1.7,1,1.28,0,,,,,,,,,,
2019-06-13,2.83,1.3,2.3,4.1,2.63,0.6,,,,,,,,,,
2019-06-14,3.91,0.99,0.29,5.3,2.62,0,,,,,,,,,,
2019-06-15,1.51,2.4,1.4,4.2,2.38,0,,,,,,,,,,
2019-06-16,2.45,1.54,2.5,3.4,2.47,0.04,,,,,,,,,,
2019-06-17,1.83,1.38,3.7,0.03,1.73,0,,,,,,,,,,
2019-06-18,2.68,1.33,0.92,2.7,1.91,0.79,,,,,,,,,,
2019-06-19,3.42,2.05,0.88,2.2,2.14,0.11,,,,,,,,,,
2019-06-20,0.23,1.04,2.3,1.3,1.22,0.42,,,,,,,,,,
2019-06-21,2.71,2.02,6.6,3.9,3.81,0.53,,,,,,,,,,
2019-06-22,2.00,2.42,3.8,4.2,3.11,0,,,,,,,,,,
2019-06-23,3.21,1.53,6.2,6.3,4.31,0,,,,,,,,,,
2019-06-24,3.31,2.4,5.3,2.5,3.38,0,,,,,,,,,,
2019-06-25,2.00,0.39,2.3,3.8,2.12,0.86,,,,,,,,,,
2019-06-26,1.21,0.93,2.3,4.5,2.23,0,,,,,,,,,,
2019-06-27,4.17,1.61,3.4,1,2.55,0,,,,,,,,,,
2019-06-28,1.84,3.96,6.1,4,3.97,0,,,,,,,,,,
2019-06-29,0.61,7.01,5.6,2.7,3.98,0.08,,,,,,,,,,
2019-06-30,1.79,1.16,3.3,2.1,2.09,0.06,,,,,,,,,,
2019-07-01,2.87,0.48,5.4,0.04,2.20,0,,,,,,,,,,
2019-07-02,0.22,0.94,2.6,1.3,1.26,0.02,,,,,,,,,,
2019-07-03,1.44,0.48,7,2.1,2.75,0,,,,,,,,,,
2019-07-04,2.45,2.11,2.5,1.2,2.06,0,,,,,,,,,,
2019-07-05,0.20,2.99,2.9,2.3,2.10,0,,,,,,,,,,
2019-07-06,3.65,3.48,4.9,6.6,4.66,0,,,,,,,,,,
2019-07-07,0.73,0.8,2.6,1.1,1.31,0,,,,,,,,,,
2019-07-08,3.89,0.72,2.4,2.2,2.30,0.04,,,,,,,,,,
2019-07-09,3.83,2.37,2.6,3.1,2.98,0,,,,,,,,,,
2019-07-10,1.08,0.59,2.4,2.1,1.54,0,,,,,,,,,,
2019-07-11,1.09,0.4,0.19,1.4,0.77,0.79,,,,,,,,,,
